PC1,PC3,PC4,PC5,PC6,PC9,PC10,PC12,PC13,PC14,PC21,PC23,PC24,PC25,PC27,PC35,PC40,PC41,PC44,PC48
0.0583435679204167,0.378121562673982,0.3417797290568085,0.4767062993151625,0.5280765030152731,0.509745118930347,0.3997164552869033,0.7136741449767356,0.6264507043347756,0.4259799902984176,0.3392304268607466,0.5651797594730551,0.4226571163930102,0.1879582620712298,0.3199778543060683,0.2977646457958565,0.4549325756230946,0.600771579797129,0.4762709642298712,0.5211973423184246
0.0742553288439187,0.3715014863494235,0.370959241564035,0.5328388152643375,0.5326775407072333,0.6012614728786975,0.3991559153812367,0.7527663563518883,0.5731106242026668,0.4349746860249655,0.2273677625994724,0.6101812229741425,0.4879944409319462,0.2153121020533034,0.3962693365215612,0.3641694236394446,0.546422088890429,0.5638313321983545,0.5664408291530904,0.3761177771775572
0.0515612584670738,0.3742717033619362,0.3262505076526134,0.625437306227655,0.5442300644082135,0.5780078250941727,0.4206053000151932,0.7330054541395006,0.6018298541523299,0.4914760946458278,0.3343087841611576,0.5691837983222079,0.500164052724966,0.2308689889492753,0.5089079962708771,0.3165721632764302,0.5371185006025161,0.6183751755451009,0.4755864486398115,0.3890626160349625
0.0261300904322498,0.3989148645999756,0.3535496760623074,0.588790772100195,0.5453338383324479,0.5754926257971179,0.4328047518782046,0.721148336147808,0.6224239704537781,0.4331959772318894,0.2978359057214553,0.575083004112431,0.5114133126626209,0.2532939544892204,0.5318262628632004,0.3377962242958598,0.5035221867458387,0.5599206108947178,0.5236049127354758,0.412221922056281
0.0626324112480181,0.3883032722328804,0.4027101357414455,0.5068537537255562,0.5895008638452801,0.5635938584927361,0.3897705747869772,0.7450135926808584,0.6504610534245288,0.4633095063616816,0.3543926488075404,0.5791672917978302,0.5281184556176973,0.2516858160650925,0.4912865184240007,0.3346849339847452,0.5313221066444175,0.6115618896524142,0.5523303330901304,0.4694396414004888
0.0571163334677301,0.376438979214193,0.3676938217340261,0.442397203432977,0.5591399942204931,0.5904230819664864,0.3971183059578722,0.7414904759261557,0.6072162454247602,0.4596581966413611,0.2435334268760115,0.6575064877138679,0.5275807838644659,0.2521131704086679,0.5329003174536736,0.4104418033032294,0.5349160054355534,0.6237392369086742,0.5537849613819616,0.4551138486350319
0.0663972289063318,0.4540971129996662,0.3923259936759385,0.5801203576185054,0.5750632667035969,0.528448779281581,0.4495408856724278,0.7301125014999853,0.5680611373007856,0.4442193615233366,0.3653727450622768,0.5407612369012306,0.4645199133558861,0.244891358399839,0.499807421226714,0.3112352841538519,0.5389871867157694,0.5330681481971479,0.4996498441451485,0.422735387707142
0.1175780769445319,0.4435448604601527,0.4335588776789996,0.4662651136027902,0.5435060795643266,0.6182721952609941,0.3687103969913409,0.7594417638291376,0.5931337760149105,0.4275777747275781,0.2000097951721133,0.661527486076671,0.4461588534521938,0.2070957625887305,0.3676532440038672,0.3163856036241654,0.4472335913449912,0.5827782095465134,0.4968447142206409,0.475938185060266
0.0494114094967488,0.4574943690266888,0.3996351387177326,0.4887725692724684,0.4973180347801187,0.5447546255054632,0.3857206761232787,0.7036862764572323,0.6172354565813899,0.419828006267375,0.3706682478297509,0.5876039824813147,0.4456635383953612,0.1591486780699363,0.3505859932754515,0.3582347771236887,0.5020364502986135,0.5404469063986814,0.4885339634320522,0.4432474907525109
0.1077010262908213,0.4053270601764715,0.3732490704300278,0.3743164568127289,0.4464745670847689,0.5702042538280772,0.4325872109042776,0.6907105696980319,0.6186942335585599,0.389812701931107,0.4012363654308908,0.636624430643279,0.4355276847884972,0.203162690726653,0.3910980792035514,0.3689993522587949,0.4938847824392179,0.6044848130359685,0.4544641007603532,0.5299848047824851
